Phi,Theta,E_deloc
10,310,2.442485157881421
10,320,1.5721243391524191
10,330,0.9189246817073741
10,340,0.5857576258366439
10,350,0.5227512041218665
15,0,0.7803242584266895
15,10,0.7369904321806635
15,20,0.6673775959520035
15,30,0.7285306071093778
15,40,1.0742760805547946
15,50,1.6806021335374817
15,60,2.45247968223447
15,70,3.2298341292053894
15,80,3.8722019775323213
15,90,4.244575230426777
15,100,4.25980675653159
15,110,3.94487322974903
15,120,3.366776484926932
15,130,2.7188649086109256
15,140,2.137881433474815
15,150,1.7470173726694325
15,160,1.535560268368697
15,170,1.4357764855623996
15,180,1.3438007340737221
15,190,1.2393939042204647
15,200,1.23274726592045
15,210,1.416578914519521
15,220,1.875422719387505
15,230,2.5600605782738297
15,240,3.3572447488463397
15,250,4.1145148911679685
15,260,4.683953267344569
15,270,4.924638360518874
15,280,4.778343359432313
15,290,4.269520972525379
15,300,3.4746960473307458
15,310,2.5605074273013857
15,320,1.691625019550928
15,330,1.0616439480358322
15,340,0.7664608906499866
15,350,0.7405365484847639
20,0,1.093333215198927
20,10,1.0613344603886177
20,20,0.9775791399645932
20,30,1.0096196241101352
20,40,1.3127918749432987
20,50,1.868724186727608
20,60,2.59063557787538
20,70,3.3283180898038967
20,80,3.9446569274869567
20,90,4.318670740367781
20,100,4.347147349806719
20,110,4.0490459361589375
20,120,3.489037640109271
20,130,2.8662283062369833
20,140,2.322559591323449
20,150,1.9785539490807897
20,160,1.8129707021463792
20,170,1.741216930295836
20,180,1.6531205025761133
20,190,1.5332089918998764
20,200,1.4945733257895868
20,210,1.6405541955972982
20,220,2.0641498788998516
20,230,2.725669239482013
20,240,3.51619654338037
20,250,4.280329626549444
20,260,4.862739680226915
20,270,5.112833768706798
20,280,4.962888987297842
20,290,4.437837272475927
20,300,3.618088317221054
20,310,2.6887619209102573
20,320,1.8311301220354121
20,330,1.2394796220706543
20,340,0.9977353565559943
20,350,1.021876882893141
25,0,1.4708032845614885
25,10,1.4517895112153074
25,20,1.3476115336713996
25,30,1.3388500020963543
25,40,1.5866489135036033
25,50,2.0788226710785946
25,60,2.7409982173602527
25,70,3.4339619913432022
25,80,4.024156733193286
25,90,4.398817382016922
25,100,4.43990240444254
25,110,4.1565908131631115
25,120,3.6161671358376397
