Phi,Theta,E_deloc,E_nonbond,E_hyd,E_tot,E_meth,norm_E_meth,new_E_nb,new_E_deloc
295,25,30,1.051451909400157,-1571.7264189293,-1571.7239550753,-1570.6749670199,0.0024638540000978537,0.0015762099999392376,-1571.7255312853,1.0505642653999985
50,30,30,1.0507259030000569,-1571.7187345027,-1571.7159140054,-1570.6680085997,0.0028204973000356404,1.78739999228128e-05,-1571.7159318794,1.047923279699944
264,40,30,1.048497077799766,-1571.6979575248997,-1571.6942574464,-1570.6494604471,0.0037000784999463576,0.0,-1571.6942574464,1.0447969992999333
168,50,30,1.046756145100062,-1571.6701536104001,-1571.6636767961,-1570.6233974653,0.006476814300071965,0.00032248419995539734,-1571.6639992802998,1.040601814999718
324,60,30,1.0442707309998696,-1571.6318152903,-1571.6217850792,-1570.5875445593,0.010030211100001907,0.0009644417999652433,-1571.622749521,1.0352049616999466
251,0,40,1.0545397168000363,-1571.7463643284,-1571.7438767619,-1570.6918246116,0.0024875664998944558,0.0018220595999309808,-1571.7456988215,1.0538742098999592
94,5,40,1.0538266523999482,-1571.7448828518,-1571.7430607922,-1570.6910561994,0.0018220595999309808,0.002774884399968869,-1571.7458356765999,1.0547794771998724
130,10,40,1.0542554393002774,-1571.7435071281002,-1571.7410322492,-1570.6892516888,0.002474878899988653,0.003668717799996557,-1571.744700967,1.055449278200058
14,15,40,1.0544693826002458,-1571.7408656613002,-1571.7377577278,-1570.6863962787,0.0031079335000185893,0.004372918699914408,-1571.7421306464998,1.0557343677999143
181,20,40,1.0544915703001152,-1571.7369463901,-1571.7331792717,-1570.6824548198,0.0037671183999918867,0.004789123899968217,-1571.7379683956,1.0555135758002052
316,25,40,1.0542285144999823,-1571.7316005099,-1571.7272141073,-1570.6773719954,0.004386402600061956,0.004886555300004147,-1571.7321006625998,1.0547286671996972
58,30,40,1.0537226844000998,-1571.7247922694,-1571.7197557584,-1570.671069585,0.0050365109999575,0.0046832273999370955,-1571.7244389858,1.0533694007999657
