Phi,Theta,E_deloc,E_nonbond,E_hyd,E_tot,E_meth,norm_E_meth,new_E_nb,new_E_deloc
282,10,30,1.1023551183000109,-1182.7663196445,-1182.7638058358,-1181.6639645262,0.0025138087000868836,0.0035141693000468877,-1182.7673200051,1.1033554788998572
247,15,30,1.1023556836000807,-1182.7639834132,-1182.7613696062,-1181.6616277296,0.0026138069999888103,0.003265132100068513,-1182.7646347383002,1.1030070087001604
212,20,30,1.1024150899002052,-1182.7608212668001,-1182.7579593119,-1181.6584061769,0.0028619549000268307,0.0030884374000379466,-1182.7610477493001,1.1026415724002163
134,25,30,1.1025019989999691,-1182.7567266393,-1182.7534890845,-1181.6542246403,0.0032375548000800336,0.002988953700082675,-1182.7564780382,1.102253397899858
18,30,30,1.102574180099964,-1182.7515689703,-1182.7478633056,-1181.6489947902,0.0037056646999644727,0.00224524160000783,-1182.7501085472,1.1011137569998937
45,40,30,1.1028585825999926,-1182.7377432746,-1182.7325953584,-1181.634884692,0.005147916200030522,0.0023603568000680752,-1182.7349557152002,1.1000710232001438
301,50,30,1.1028529174998312,-1182.7175253748999,-1182.7105431822,-1181.6146724574,0.0069821926999793504,0.0024710850000246865,-1182.7130142672,1.0983418097998765
175,60,30,1.102805684499799,-1182.6890784911998,-1182.679051875,-1181.5862728067,0.010026616199979799,0.0024774034000074607,-1182.6815292784,1.0952564716999404
327,0,40,1.1032007142998737,-1182.7689554146,-1182.7667230074,-1181.6657547003,0.002232407200040143,0.0023029195000390246,-1182.7690259269002,1.1032712266001
99,5,40,1.1031662723999034,-1182.7682554895,-1182.76595257,-1181.6650892171,0.0023029195000390246,0.0019243767000034495,-1182.7678769467002,1.1027877296000952
258,10,40,1.103230910399816,-1182.7668678018,-1182.7643127728,-1181.6636368914,0.0025550290000637688,0.001378604300043662,-1182.7656913771,1.1020544856999095
230,15,40,1.1032724681001582,-1182.7646351561002,-1182.7617612633,-1181.661362688,0.002873892800039357,0.0008017710000558509,-1182.7625630343,1.1012003462999473
192,20,40,1.103368075599974,-1182.7615916002,-1182.7582450543,-1181.6582235246,0.0033465459000581177,0.00031317750006110145,-1182.7585582318002,1.1003347072000906
108,25,40,1.1034880448999047,-1182.7576382987,-1182.7536820178,-1181.6541502538,0.003956280900069942,2.538080002523202e-05,-1182.7537073986,1.0995571447999737
33,30,40,1.103592546199934,-1182.7526428531,-1182.7479676501,-1181.6490503069,0.004675203000033434,0.0,-1182.7479676501,1.0989173431999006
64,40,40,1.1039393749999817,-1182.7391819774,-1182.7324797207,-1181.6352426024,0.006702256700009457,0.0002631233001011424,-1182.732742844,1.0975002416000734
299,50,40,1.103995265599906,-1182.7193196348999,-1182.7100052079,-1181.6153243693,0.009314427000049363,0.000782690000050934,-1182.7107878979,1.0954635286000212
154,60,40,1.1040036156000497,-1182.6909909134001,-1182.6775499886,-1181.5869872978,0.013440924799965615,0.0014717767001002358,-1182.6790217653001,1.0920344675000706
358,0,50,1.1040729032999934,-1182.7693427569,-1182.7676444907,-1181.6652698536,0.0016982662000373239,0.0022146598000745144,-1182.7698591505,1.1045892969000306
95,5,50,1.1040445243997965,-1182.7687430065998,-1182.7668186299,-1181.6646984822,0.0019243767000034495,0.002891451100026643,-1182.769710081,1.105011598800047
278,10,50,1.1041061598998567,-1182.7674851043998,-1182.7651574636,-1181.6633789445,0.0023276407999901494,0.003457355400087181,-1182.768614819,1.1052358745000674
226,15,50,1.1041348022001785,-1182.7654223327002,-1182.7626287421,-1181.6612875305,0.002793590600049356,0.0038748077000718695,-1182.7665035498003,1.1052160193003147
194,20,50,1.1042070462999618,-1182.7625930392,-1182.7591822324,-1181.6583859929,0.0034108068000477942,0.00415721740000663,-1182.7633394498,1.1049534568999206
115,25,50,1.1042918122000174,-1182.7589001232,-1182.7547347153,-1181.654608311,0.004165407900018181,0.004326280800000859,-1182.7590609960998,1.1044526850998864
34,30,50,1.1043483102000664,-1182.7542185457,-1182.7491833931,-1181.6498702355,0.00503515259993037,0.004416979000097854,-1182.7536003721002,1.103730136600234
59,40,50,1.1045543411999006,-1182.7415745431,-1182.7341681296,-1181.6370202019,0.007406413500007147,0.004455199800077025,-1182.7386233294,1.1016031275000842
320,50,50,1.1044202093000877,-1182.7228418001,-1182.7123732618,-1181.6184215908,0.010468538299960528,0.004464282500066474,-1182.7168375443,1.09841595350008
172,60,50,1.1041873097999542,-1182.695824382,-1182.6806452443,-1181.5916370722,0.015179137699988132,0.004451354000025276,-1182.6850965982999,1.0934595260998776
